Process Name,USER,PID,CPU_MEAN,CPU_STD_Deviation,MEM_MEAN,MEM_STD_Deviation
gvfs-afc-volume-monitor,guatam,1879,0.0,0.0,0.0607530125521777,0.0
fusermount3,guatam,1898,0.0,0.0,0.0106791443692365,0.0
xdg-desktop-portal,guatam,1899,0.0,0.0,0.1067668373689344,0.0
xdg-desktop-portal-gtk,guatam,1919,0.0,0.0,0.3218261041595514,0.0
clock-applet,guatam,1975,0.17,0.3465594440725315,0.2432827197664564,0.0
mate-multiload-applet,guatam,1977,2.0566666666666666,0.8660983990180383,0.1943161361379292,0.0
mate-netspeed-applet,guatam,1980,0.9400000000000001,0.6462624640297416,0.2560041889805009,0.0
notification-area-applet,guatam,1982,0.11666666666666667,0.3029547972807203,0.1940208602567522,0.0
gvfsd-trash,guatam,2017,0.0,0.0,0.0697835332515091,0.0
blueman-tray,guatam,2019,0.0,0.0,0.3592769284221736,0.0
obexd,guatam,2070,0.0,0.0,0.0418307498334151,0.0
dnsmasq,nobody,2074,0.0,0.0,0.0024852386665734,0.0
krfcommd,root,2086,0.0,0.0,0.0,0.0
gvfsd-metadata,guatam,2141,0.0,0.0,0.077559131455838,0.0
skypeforlinux,guatam,2147,0.0,0.0,0.2683811696665056,0.0
skypeforlinux,guatam,2148,0.0,0.0,0.2635583302739471,0.0
skypeforlinux,guatam,2150,0.0,0.0,0.0468012271665621,0.0
chrome_crashpad_handler,guatam,2163,0.0,0.0,0.0199065156560193,0.0
skypeforlinux,guatam,2179,0.0,0.0,0.4960388740540099,0.0
skypeforlinux,guatam,2184,0.14,0.31905031491643426,0.3916588500579233,0.0
skypeforlinux,guatam,2194,0.0,0.0,1.509752962355278,0.0004890260632518377
gvfsd-network,guatam,3335,0.0,0.0,0.079429212036626,0.0
gvfsd-dnssd,guatam,3361,0.0,0.0,0.0765994848420126,0.0
/opt/lampp/bin/,root,10206,0.0,0.0,0.1863682936695803,0.0
/opt/lampp/bin/,daemon,10213,0.0,0.0,0.0696851079577834,0.0
/opt/lampp/bin/,daemon,10214,0.0,0.0,0.152485386304514,0.0
/opt/lampp/bin/,daemon,10215,0.0,0.0,0.1558810589380501,0.0
/opt/lampp/bin/,daemon,10216,0.0,0.0,0.1550936565882446,0.0
/opt/lampp/bin/,daemon,10218,0.0,0.0,0.1485483745554867,0.0
/opt/lampp/bin/,daemon,10221,0.0,0.0,0.1478347911759755,0.0
proftpd,root,10272,0.02666666666666667,0.14605934866804432,0.01783958448778,0.0
mysqld_safe,root,10312,0.0,0.0,0.0096702851085483,0.0
mysqld,mysql,10463,0.05666666666666667,0.21605129233480702,0.4621559666889436,0.0
/opt/lampp/bin/,daemon,10531,0.0,0.0,0.130019813011627,0.0
/opt/lampp/bin/,daemon,10861,0.0,0.0,0.1536418835057908,0.0
/opt/lampp/bin/,daemon,10862,0.0,0.0,0.1477363658822499,0.0
/opt/lampp/bin/,daemon,10863,0.0,0.0,0.1477363658822499,0.0
/opt/lampp/bin/,daemon,10864,0.0,0.0,0.1526822368919654,0.0
ssh-agent,guatam,13996,0.0,0.0,0.0236712831410267,0.0
chrome,guatam,42278,2.2333333333333334,1.1914445979083783,3.2344429800947965,0.0008584771207910212
cat,guatam,42283,0.0,0.0,0.003100396752359,0.0
cat,guatam,42284,0.0,0.0,0.0034940979272617,0.0
chrome_crashpad_handler,guatam,42286,0.0,0.0,0.0210384065338646,0.0
chrome_crashpad_handler,guatam,42288,0.0,0.0,0.0181102540455256,0.0
chrome,guatam,42294,0.0,0.0,0.3913143615298833,0.0
chrome,guatam,42295,0.0,0.0,0.3832680937678088,0.0
nacl_helper,guatam,42296,0.0,0.0,0.0278789644477996,0.0
chrome,guatam,42299,0.0,0.0,0.1045030556132437,0.0
chrome,guatam,42322,0.11,0.2856933489865881,1.2633493405669365,0.0004655615293438834
chrome,guatam,42323,1.3766666666666667,1.3843169193986373,0.9098114269797509,0.00124718985458652
chrome,guatam,42325,0.030000000000000002,0.16431676725154984,0.1024853370918672,0.0
chrome,guatam,42349,0.0,0.0,0.4087807501122868,8.814881240128176e-05
chrome,guatam,42430,0.0,0.0,0.6029287430401014,0.0
chrome,guatam,42441,0.0,0.0,0.6952270622313604,0.0
chrome,guatam,42452,0.0,0.0,0.6215557298776869,0.0
chrome,guatam,42469,0.0,0.0,0.7267969751938732,0.0
chrome,guatam,42504,0.0,0.0,0.7737507615657102,3.1258681525998875e-05
chrome,guatam,42670,0.02666666666666667,0.14605934866804432,1.220202972640721,0.0
chrome,guatam,42912,0.0,0.0,0.5195625192544481,0.0
chrome,guatam,43940,0.11333333333333333,0.43130382389418614,1.4402917719407204,0.022237038779268137
chrome,guatam,43949,0.0,0.0,0.911093416430528,0.0004128768234314995
chrome,guatam,44479,0.75,0.6246378260985348,1.7514682593191528,0.010947853825946577
gvfsd-http,guatam,45550,0.0,0.0,0.0828740973170249,0.0
uuidd,uuidd,45984,0.0,0.0,0.0072096527654062,0.0
wnck-applet,guatam,46247,0.09,0.2746157189664282,0.3945131835759681,0.0
chrome,guatam,57878,0.0,0.0,2.0754105072938063,0.0014577734839317097
chrome,guatam,58131,0.030000000000000002,0.16431676725154984,1.8469932877230524,0.010067046689029233
irq/134-mei_me,root,60036,0.0,0.0,0.0,0.0
chrome,guatam,67191,0.030000000000000002,0.16431676725154984,2.118926790282274,0.012139684664313697
chrome,guatam,91557,0.030000000000000002,0.16431676725154984,1.1549568454299661,0.0021718800382833888
chrome,guatam,92793,0.0,0.0,1.1449912844402403,0.002171880038283385
chrome,guatam,92799,0.0,0.0,1.142259982539353,0.002171880038283387
kworker/1:1-events,root,95701,0.0,0.0,0.0,0.0
chrome,guatam,101428,0.0,0.0,0.6547496601866735,0.0
kworker/u8:7-btrfs-endio-write,root,113974,0.08666666666666667,0.2648790658776754,0.0,0.0
kworker/u8:6-btrfs-compressed-write,root,115700,0.030000000000000002,0.16431676725154984,0.0,0.0
kworker/u8:3-flush-btrfs-1,root,115997,0.0,0.0,0.0,0.0
kworker/3:2-events,root,116064,0.05666666666666667,0.21605129233480702,0.0,0.0
WD-TabNine,guatam,116229,4.4366666666666665,11.99886440986966,0.08443987969804428,0.0006060967474652332
kworker/u8:5-phy0,root,116295,0.030000000000000002,0.16431676725154984,0.0,0.0
kworker/2:1-cgroup_destroy,root,116885,0.0,0.0,0.0,0.0
mate-terminal,guatam,116887,0.030000000000000002,0.16431676725154984,0.2801183859432932,0.0
bash,guatam,116893,0.0,0.0,0.0546260380177539,0.0
bash,guatam,117474,0.0,0.0,0.0540846989022627,0.0
codium,guatam,117659,0.5766666666666667,1.1343183684131808,1.0615512416842932,0.00978532867119847
codium,guatam,117663,0.0,0.0,0.3152070031564992,0.0
codium,guatam,117664,0.0,0.0,0.3146410577175765,0.0
codium,guatam,117666,0.0,0.0,0.0528051700838288,0.0
codium,guatam,117690,2.913333333333333,2.7058981979134513,0.8246071108337705,0.0014605693328959407
codium,guatam,117697,0.0,0.0,0.4590309636131532,0.0
codium,guatam,117720,6.536666666666667,6.258207484539022,1.9503775758309474,0.046173168740225555
